0,735581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0.494,0.656,0.575,0.206,0.131,0.138,0.031,0.212,0.688,0.463,0.031,0.125,0.075,0.094,0.031,0.056,0.069,0.119,0.025,0.056,0.362,0.219,0.144,0.15,0.15,0.225,0.175,0.113,0.069,1.582,2.35
0,735582,2.369,2.388,2.412,1.275,0.05,0.019,0.044,0.031,1.044,0.069,0.05,0.025,0.044,0.269,0.1,0.019,0.037,0.037,0.019,0.056,0.025,0.05,0.025,0.019,0.05,0.019,0.05,0.025,0.056,0.25,0.094,0.05,0.031,0.063,0.031,0.106,0.125,0.138,0.169,0.194,0.188,0.194,0.188,0.144,0.188,0.056,1.912,2.332
0,735583,2.4,2.406,2.388,0.568,0.019,0.031,0.044,0.675,0.425,0.025,0.025,0.044,0.019,0.344,0.15,0.019,0.056,0.025,0.031,0.044,0.019,0.056,0.019,0.025,0.05,0.019,0.05,0.031,0.019,0.331,0.606,0.175,0.087,0.037,0.069,0.075,0.113,0.063,0.113,0.194,0.181,0.1,0.119,0.087,0.119,0.044,1.668,2.387
0,735584,2.431,2.394,0.525,0.019,0.05,0.45,0.675,0.019,0.037,0.056,0.169,1.187,0.119,0.106,0.031,0.044,0.594,0.581,0.531,0.469,0.531,0.875,0.7,0.313,0.044,0.044,0.037,0.037,0.031,0.044,0.1,0.069,0.813,0.131,0.2,0.05,0.069,0.056,0.094,0.2,0.706,0.475,0.619,0.119,0.081,0.087,2.294,2.387
0,735585,2.45,2.35,0.907,0.094,0.063,0.069,0.031,1.044,0.056,0.056,0.131,1.219,0.313,0.169,0.063,0.219,0.075,0.025,0.025,0.056,0.019,0.138,0.081,0.081,0.231,0.075,0.588,0.756,0.588,0.594,0.087,0.044,0.081,0.056,0.156,0.188,0.625,0.244,0.144,0.331,0.388,0.081,0.106,0.075,0.1,0.019,1.756,2.393
0,735586,2.413,2.431,2.4,2.194,0.031,0.019,0.056,0.019,0.044,1.031,0.125,0.881,0.719,0.1,0.025,0.056,0.056,0.056,0.175,0.194,0.281,0.1,0.225,0.212,0.056,0.019,0.05,0.031,0.044,0.144,0.125,1.212,0.362,1.131,1.75,0.231,0.094,0.05,0.063,0.125,0.188,0.244,0.237,0.181,0.081,0.075,1.706,2.381
0,735587,2.35,2.344,0.393,0.044,0.037,0.025,0.056,0.019,1.075,0.188,1.094,0.019,0.056,0.094,0.063,0.063,0.044,0.075,0.05,0.019,0.069,0.031,0.081,0.294,0.975,0.063,1.138,1.206,1.194,1.406,1.206,1.131,1.219,1.212,1.169,0.625,0.119,0.119,0.113,0.113,0.125,0.1,0.113,0.113,0.087,0.087,2.225,2.388
0,735588,2.356,0.756,0.044,0.044,0.031,0.056,0.594,0.475,0.019,0.087,0.1,0.113,0.081,0.056,0.025,0.05,0.119,0.025,0.063,0.019,0.069,0.381,0.388,0.131,0.069,0.063,0.131,0.625,0.544,0.338,0.094,0.138,0.056,0.075,0.094,0.138,0.044,0.081,0.125,0.219,0.219,0.181,0.188,0.113,0.113,0.025,2.356,2.332
0,735589,2.412,2.363,1.969,0.019,0.056,0.031,0.031,0.962,0.025,0.069,0.125,0.169,0.081,0.85,0.156,0.1,0.044,0.063,0.044,0.031,0.094,0.388,0.113,0.294,0.563,0.325,0.506,0.563,0.125,0.138,0.163,0.55,0.313,0.325,0.644,0.731,0.231,0.175,0.169,0.163,0.181,0.156,0.169,0.087,0.081,0.069,2.038,2.431
0,735590,2.475,2.45,2.431,2.444,0.106,0.1,0.037,0.025,0.063,1,0.037,0.044,0.019,0.05,0.131,0.081,0.075,0.237,0.331,0.125,0.256,0.188,0.031,0.05,0.037,0.15,0.406,0.119,0.144,0.119,0.075,0.075,0.319,0.994,0.331,0.15,0.081,0.45,0.65,0.287,0.469,0.456,0.756,0.269,0.138,0.119,1.675,2.424
