6,0.97819,1.22,1.3874,1.5701,1.7796,1.8884,2.0624,2.1563,2.2163,2.2413,2.2309,2.114,2.1052,1.9786,1.8478,1.6472,1.4333,1.4802,1.2651,1.0698,0.53236
6,0.19808,0.97771,1.2148,1.4318,1.2556,1.5136,1.6542,1.6262,1.9936,1.8812,2.0031,1.9783,1.5226,1.6974,1.3381,1.376,1.3078,0.77903,0.86533,0.3288,0.31549
6,0.893,1.037,1.369,1.562,1.844,1.944,2.125,2.219,2.238,2.325,2.263,2.181,2.113,1.956,1.85,1.594,1.294,1.344,1.069,0.925,0.425
6,0.787,0.931,1.269,1.462,1.744,1.844,2.025,2.119,2.138,2.225,2.163,2.081,2.013,1.856,1.75,1.494,1.194,1.244,0.963,0.806,0.306
6,-0.007,0.719,1.063,1.269,1.225,1.538,1.663,1.644,2.068,1.906,1.956,1.912,1.487,1.65,1.281,1.294,1.213,0.694,0.731,0.162,0.288
6,-0.113,0.619,0.963,1.169,1.119,1.438,1.563,1.538,1.962,1.806,1.85,1.806,1.381,1.55,1.175,1.188,1.113,0.588,0.631,0.056,0.188
7,0.34634,0.46647,0.63526,0.73745,0.86108,0.96328,1.0498,1.119,1.1699,1.2016,1.2134,1.2053,1.1772,1.1299,1.0639,0.98052,0.93407,0.77167,0.72373,0.51573,0.37536
7,0.10392,0.46808,0.60694,0.69906,0.84365,0.79592,1.0365,0.95449,1.1536,1.1882,1.143,1.1314,1.1743,1.128,1.0612,0.91611,0.82836,0.75249,0.64073,0.50456,0.36012
7,0.25,0.418,0.631,0.731,0.843,0.956,1.069,1.131,1.162,1.187,1.194,1.194,1.169,1.131,1.044,0.95,0.919,0.762,0.725,0.468,0.256
7,0.194,0.362,0.575,0.675,0.787,0.9,1.013,1.075,1.106,1.131,1.138,1.138,1.113,1.075,0.988,0.894,0.875,0.706,0.681,0.412,0.2
7,-0.031,0.331,0.512,0.619,0.837,0.718,1.031,0.906,1.081,1.106,1.062,1.125,1.137,1.119,1,0.919,0.75,0.656,0.55,0.394,0.181
7,-0.087,0.275,0.456,0.563,0.781,0.662,0.975,0.85,1.025,1.05,1.006,1.069,1.081,1.063,0.944,0.863,0.694,0.6,0.494,0.338,0.125
8,0.59823,0.74587,0.88392,0.97025,1.1011,1.203,1.2891,1.3397,1.3932,1.3924,1.3911,1.3432,1.2428,1.1685,1.2614,0.9649,0.83922,0.93979,0.57801,0.37824,0.21495
8,0.10226,0.26511,0.38575,0.7704,0.88705,0.98734,0.94428,0.95178,1.0926,1.0821,0.97413,0.97129,0.90156,0.78105,0.71631,0.60599,0.47891,0.35573,0.26839,0.080053,0
8,0.513,0.744,0.869,0.988,1.113,1.225,1.3,1.313,1.412,1.375,1.332,1.281,1.175,1.094,1.156,0.894,0.813,0.775,0.581,0.213,0.144
8,0.438,0.669,0.794,0.913,1.038,1.15,1.231,1.244,1.337,1.306,1.263,1.212,1.106,1.025,1.081,0.825,0.744,0.7,0.506,0.144,0.075
8,-0.019,-0,-0.012,0.319,0.732,0.982,0.894,0.957,1.094,1.082,0.956,0.932,0.844,0.737,0.625,0.513,0.381,0.219,0.163,0.044,-0
8,-0.094,-0.075,-0.087,0.256,0.669,0.919,0.831,0.894,1.031,1.019,0.887,0.869,0.769,0.662,0.55,0.438,0.306,0.144,0.094,-0.031,-0.069
9,0.49035,0.87496,1.1339,1.5295,1.5603,1.9406,1.9399,2.0663,2.2995,2.3559,2.3742,2.3542,2.2961,2.2011,2.1857,1.9496,1.7251,1.5559,1.4019,1.2779,0.86103
9,0.11717,0.63791,0.91243,1.1708,1.3508,1.5564,1.968,1.8781,1.9885,1.9211,2.0644,2.0974,2.1788,2.0969,1.6283,1.6657,1.5208,1.4258,1.1866,0.92638,0.64995
